[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  71: Train%/Test% | Accuracy: 73.82%/61.79% | Precision: 78.34%/66.65% | Recall: 76.78%/66.56% | F1: 73.72%/61.79% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  72: Train%/Test% | Accuracy: 70.62%/58.49% | Precision: 76.73%/64.19% | Recall: 74.07%/63.68% | F1: 70.35%/58.46% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  73: Train%/Test% | Accuracy: 85.66%/77.36% | Precision: 85.22%/75.66% | Recall: 85.85%/75.93% | F1: 85.43%/75.79% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  74: Train%/Test% | Accuracy: 77.25%/65.09% | Precision: 79.66%/67.85% | Recall: 79.47%/68.64% | F1: 77.25%/65.02% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  75: Train%/Test% | Accuracy: 83.53%/76.42% | Precision: 83.55%/75.40% | Recall: 84.44%/77.06% | F1: 83.43%/75.63% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  76: Train%/Test% | Accuracy: 84.83%/75.47% | Precision: 84.69%/74.44% | Recall: 85.61%/76.04% | F1: 84.71%/74.66% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  77: Train%/Test% | Accuracy: 85.19%/75.47% | Precision: 85.00%/74.29% | Recall: 85.91%/75.77% | F1: 85.06%/74.57% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  78: Train%/Test% | Accuracy: 86.26%/79.72% | Precision: 85.83%/78.17% | Recall: 86.09%/78.60% | F1: 85.94%/78.36% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  79: Train%/Test% | Accuracy: 84.72%/76.89% | Precision: 84.77%/75.79% | Recall: 85.70%/77.43% | F1: 84.62%/76.08% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  80: Train%/Test% | Accuracy: 84.83%/76.89% | Precision: 84.80%/75.65% | Recall: 85.72%/77.16% | F1: 84.73%/75.99% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  81: Train%/Test% | Accuracy: 84.72%/76.89% | Precision: 84.63%/75.53% | Recall: 85.54%/76.89% | F1: 84.60%/75.90% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  82: Train%/Test% | Accuracy: 84.60%/76.89% | Precision: 84.49%/75.53% | Recall: 85.40%/76.89% | F1: 84.48%/75.90% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  83: Train%/Test% | Accuracy: 84.36%/77.36% | Precision: 84.19%/76.20% | Recall: 85.08%/77.80% | F1: 84.23%/76.52% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  84: Train%/Test% | Accuracy: 84.24%/76.89% | Precision: 84.26%/75.95% | Recall: 85.17%/77.70% | F1: 84.14%/76.16% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  85: Train%/Test% | Accuracy: 84.00%/76.89% | Precision: 84.06%/75.95% | Recall: 84.97%/77.70% | F1: 83.91%/76.16% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  86: Train%/Test% | Accuracy: 84.12%/76.42% | Precision: 84.02%/75.24% | Recall: 84.92%/76.79% | F1: 84.00%/75.54% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  87: Train%/Test% | Accuracy: 85.43%/77.83% | Precision: 84.98%/76.17% | Recall: 85.61%/76.57% | F1: 85.19%/76.35% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  88: Train%/Test% | Accuracy: 84.48%/77.83% | Precision: 84.01%/76.17% | Recall: 84.28%/76.57% | F1: 84.13%/76.35% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  89: Train%/Test% | Accuracy: 84.95%/79.25% | Precision: 84.48%/77.67% | Recall: 84.92%/78.22% | F1: 84.66%/77.92% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  90: Train%/Test% | Accuracy: 84.36%/78.77% | Precision: 83.88%/77.19% | Recall: 84.37%/77.85% | F1: 84.07%/77.47% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  91: Train%/Test% | Accuracy: 84.72%/77.83% | Precision: 84.31%/76.31% | Recall: 85.03%/77.37% | F1: 84.50%/76.68% | Time: fit=017s, train=003s, test=001s, total=020s
