Epoch  83: Train%/Test% | Accuracy: 82.58%/76.89% | Precision: 82.27%/76.13% | Recall: 81.79%/77.97% | F1: 81.99%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  84: Train%/Test% | Accuracy: 82.58%/76.89% | Precision: 82.45%/76.13% | Recall: 81.55%/77.97% | F1: 81.89%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  85: Train%/Test% | Accuracy: 82.46%/76.89% | Precision: 82.34%/76.13% | Recall: 81.41%/77.97% | F1: 81.76%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  86: Train%/Test% | Accuracy: 81.99%/76.42% | Precision: 81.69%/75.75% | Recall: 81.12%/77.59% | F1: 81.35%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  87: Train%/Test% | Accuracy: 81.99%/76.89% | Precision: 82.03%/75.95% | Recall: 80.73%/77.70% | F1: 81.17%/76.16% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  88: Train%/Test% | Accuracy: 82.46%/76.42% | Precision: 82.37%/75.56% | Recall: 81.37%/77.32% | F1: 81.74%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  89: Train%/Test% | Accuracy: 82.70%/76.42% | Precision: 82.62%/75.56% | Recall: 81.61%/77.32% | F1: 81.99%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  90: Train%/Test% | Accuracy: 82.94%/76.42% | Precision: 82.95%/75.56% | Recall: 81.78%/77.32% | F1: 82.20%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  91: Train%/Test% | Accuracy: 82.82%/76.89% | Precision: 82.70%/76.13% | Recall: 81.79%/77.97% | F1: 82.14%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  92: Train%/Test% | Accuracy: 82.70%/76.89% | Precision: 82.55%/76.13% | Recall: 81.69%/77.97% | F1: 82.02%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  93: Train%/Test% | Accuracy: 82.35%/76.42% | Precision: 82.23%/75.75% | Recall: 81.27%/77.59% | F1: 81.63%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  94: Train%/Test% | Accuracy: 82.58%/76.42% | Precision: 82.48%/75.75% | Recall: 81.51%/77.59% | F1: 81.87%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  95: Train%/Test% | Accuracy: 82.70%/76.89% | Precision: 82.55%/76.13% | Recall: 81.69%/77.97% | F1: 82.02%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  96: Train%/Test% | Accuracy: 82.70%/76.42% | Precision: 82.55%/75.56% | Recall: 81.69%/77.32% | F1: 82.02%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  97: Train%/Test% | Accuracy: 82.35%/76.42% | Precision: 82.10%/75.56% | Recall: 81.42%/77.32% | F1: 81.70%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  98: Train%/Test% | Accuracy: 83.18%/76.89% | Precision: 83.02%/76.13% | Recall: 82.22%/77.97% | F1: 82.53%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  99: Train%/Test% | Accuracy: 83.06%/76.89% | Precision: 82.91%/76.13% | Recall: 82.08%/77.97% | F1: 82.40%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 100: Train%/Test% | Accuracy: 83.18%/76.89% | Precision: 83.09%/76.13% | Recall: 82.14%/77.97% | F1: 82.50%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 101: Train%/Test% | Accuracy: 82.70%/76.42% | Precision: 82.49%/75.75% | Recall: 81.77%/77.59% | F1: 82.06%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 102: Train%/Test% | Accuracy: 82.82%/75.47% | Precision: 82.52%/75.01% | Recall: 82.03%/76.85% | F1: 82.24%/74.90% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 103: Train%/Test% | Accuracy: 82.94%/75.47% | Precision: 82.65%/75.01% | Recall: 82.13%/76.85% | F1: 82.35%/74.90% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 104: Train%/Test% | Accuracy: 82.94%/75.47% | Precision: 82.65%/75.01% | Recall: 82.13%/76.85% | F1: 82.35%/74.90% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 105: Train%/Test% | Accuracy: 82.70%/75.47% | Precision: 82.43%/75.01% | Recall: 81.85%/76.85% | F1: 82.09%/74.90% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 106: Train%/Test% | Accuracy: 82.82%/76.42% | Precision: 82.57%/75.75% | Recall: 81.95%/77.59% | F1: 82.20%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 107: Train%/Test% | Accuracy: 82.70%/76.42% | Precision: 82.38%/75.75% | Recall: 81.93%/77.59% | F1: 82.12%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 108: Train%/Test% | Accuracy: 82.58%/76.42% | Precision: 82.22%/75.75% | Recall: 81.86%/77.59% | F1: 82.02%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 109: Train%/Test% | Accuracy: 82.46%/76.42% | Precision: 82.11%/75.75% | Recall: 81.72%/77.59% | F1: 81.89%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 110: Train%/Test% | Accuracy: 82.70%/76.42% | Precision: 82.41%/75.75% | Recall: 81.89%/77.59% | F1: 82.11%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 111: Train%/Test% | Accuracy: 82.46%/76.42% | Precision: 82.18%/75.75% | Recall: 81.60%/77.59% | F1: 81.84%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 112: Train%/Test% | Accuracy: 82.82%/76.42% | Precision: 82.54%/75.75% | Recall: 81.99%/77.59% | F1: 82.22%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 113: Train%/Test% | Accuracy: 83.29%/76.42% | Precision: 82.99%/75.75% | Recall: 82.55%/77.59% | F1: 82.74%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 114: Train%/Test% | Accuracy: 83.29%/76.42% | Precision: 82.99%/75.75% | Recall: 82.55%/77.59% | F1: 82.74%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch 115: Train%/Test% | Accuracy: 83.06%/76.42% | Precision: 82.72%/75.75% | Recall: 82.35%/77.59% | F1: 82.51%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
