[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 2441
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-FakeNewsAMT
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 384
Train classes: 2
Test size: 96
Test classes: 2
Total features: 2441
==============================
[*] Training for 150 epochs...
Epoch 105: Train%/Test% | Accuracy: 100.00%/50.00% | Precision: 100.00%/49.93% | Recall: 100.00%/49.93% | F1: 100.00%/49.91% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch 106: Train%/Test% | Accuracy: 100.00%/51.04% | Precision: 100.00%/50.89% | Recall: 100.00%/50.87% | F1: 100.00%/50.61% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 107: Train%/Test% | Accuracy: 100.00%/48.96% | Precision: 100.00%/48.86% | Recall: 100.00%/48.87% | F1: 100.00%/48.82% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 108: Train%/Test% | Accuracy: 100.00%/51.04% | Precision: 100.00%/50.93% | Recall: 100.00%/50.91% | F1: 100.00%/50.78% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 109: Train%/Test% | Accuracy: 100.00%/45.83% | Precision: 100.00%/45.88% | Recall: 100.00%/45.90% | F1: 100.00%/45.81% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 110: Train%/Test% | Accuracy: 100.00%/46.88% | Precision: 100.00%/46.88% | Recall: 100.00%/46.87% | F1: 100.00%/46.87% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 111: Train%/Test% | Accuracy: 100.00%/46.88% | Precision: 100.00%/46.77% | Recall: 100.00%/46.79% | F1: 100.00%/46.73% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 112: Train%/Test% | Accuracy: 100.00%/45.83% | Precision: 100.00%/45.88% | Recall: 100.00%/45.90% | F1: 100.00%/45.81% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 113: Train%/Test% | Accuracy: 100.00%/48.96% | Precision: 100.00%/48.86% | Recall: 100.00%/48.87% | F1: 100.00%/48.82% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 114: Train%/Test% | Accuracy: 100.00%/45.83% | Precision: 100.00%/45.75% | Recall: 100.00%/45.77% | F1: 100.00%/45.74% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 115: Train%/Test% | Accuracy: 100.00%/44.79% | Precision: 100.00%/44.67% | Recall: 100.00%/44.70% | F1: 100.00%/44.64% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 116: Train%/Test% | Accuracy: 100.00%/46.88% | Precision: 100.00%/46.83% | Recall: 100.00%/46.83% | F1: 100.00%/46.82% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 117: Train%/Test% | Accuracy: 100.00%/46.88% | Precision: 100.00%/46.77% | Recall: 100.00%/46.79% | F1: 100.00%/46.73% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 118: Train%/Test% | Accuracy: 100.00%/45.83% | Precision: 100.00%/45.59% | Recall: 100.00%/45.68% | F1: 100.00%/45.45% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 119: Train%/Test% | Accuracy: 100.00%/47.92% | Precision: 100.00%/47.78% | Recall: 100.00%/47.81% | F1: 100.00%/47.71% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 120: Train%/Test% | Accuracy: 100.00%/45.83% | Precision: 100.00%/45.68% | Recall: 100.00%/45.72% | F1: 100.00%/45.62% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 121: Train%/Test% | Accuracy: 100.00%/47.92% | Precision: 100.00%/47.78% | Recall: 100.00%/47.81% | F1: 100.00%/47.71% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 122: Train%/Test% | Accuracy: 100.00%/46.88% | Precision: 100.00%/46.77% | Recall: 100.00%/46.79% | F1: 100.00%/46.73% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 123: Train%/Test% | Accuracy: 100.00%/44.79% | Precision: 100.00%/44.58% | Recall: 100.00%/44.66% | F1: 100.00%/44.50% | Time: fit=000s, train=000s, test=000s, total=001s
