[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=150, s=10.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch 107: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.92% | Recall: 100.00%/71.50% | F1: 100.00%/71.59% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 108: Train%/Test% | Accuracy: 99.75%/73.00% | Precision: 99.76%/72.89% | Recall: 99.74%/72.58% | F1: 99.75%/72.67% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 109: Train%/Test% | Accuracy: 99.75%/72.00% | Precision: 99.76%/71.92% | Recall: 99.74%/71.50% | F1: 99.75%/71.59% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 110: Train%/Test% | Accuracy: 99.75%/73.00% | Precision: 99.75%/72.89% | Recall: 99.75%/72.58% | F1: 99.75%/72.67% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 111: Train%/Test% | Accuracy: 99.75%/71.00% | Precision: 99.76%/70.93% | Recall: 99.74%/71.05% | F1: 99.75%/70.93% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 112: Train%/Test% | Accuracy: 99.75%/69.00% | Precision: 99.76%/68.93% | Recall: 99.74%/69.04% | F1: 99.75%/68.92% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 113: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.83% | Recall: 100.00%/71.66% | F1: 100.00%/71.72% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 114: Train%/Test% | Accuracy: 99.75%/70.00% | Precision: 99.76%/69.87% | Recall: 99.74%/69.97% | F1: 99.75%/69.89% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 115: Train%/Test% | Accuracy: 99.75%/70.00% | Precision: 99.76%/69.81% | Recall: 99.74%/69.81% | F1: 99.75%/69.81% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 116: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.03% | Recall: 100.00%/72.42% | F1: 100.00%/72.54% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 117: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.92% | Recall: 100.00%/71.50% | F1: 100.00%/71.59% | Time: fit=004s, train=001s, test=000s, total=005s
Epoch 118: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.65% | F1: 100.00%/69.70% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 119: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.83% | Recall: 100.00%/71.66% | F1: 100.00%/71.72% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 120: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.84% | Recall: 100.00%/70.89% | F1: 100.00%/70.86% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 121: Train%/Test% | Accuracy: 99.75%/72.00% | Precision: 99.75%/71.83% | Recall: 99.75%/71.66% | F1: 99.75%/71.72% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 122: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.83% | Recall: 100.00%/71.66% | F1: 100.00%/71.72% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 123: Train%/Test% | Accuracy: 99.25%/70.00% | Precision: 99.25%/69.87% | Recall: 99.26%/69.48% | F1: 99.25%/69.56% | Time: fit=004s, train=001s, test=000s, total=006s
